id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
stews002,0,1,7,5,5,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
gonza001,0,2,6,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
martd002,0,3,9,4,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
delgc001,0,4,3,4,4,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
fullb001,0,5,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
batit001,0,6,5,4,4,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
fletd001,0,7,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
cruzj004,0,8,8,4,4,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
moram001,0,9,4,4,3,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
knobc001,1,1,4,4,3,3,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0
vizcj001,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeted001,1,2,6,4,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
oneip001,1,3,9,4,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
martt002,1,4,3,4,4,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
justd001,1,5,7,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cansj001,1,6,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
posaj001,1,7,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bross001,1,8,5,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bellc001,1,9,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
