id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
longt002,0,1,8,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
velar001,0,2,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giamj001,0,3,3,5,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
grieb001,0,4,7,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
chrir001,0,4,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staim001,0,5,10,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
piata001,0,5,11,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tejam001,0,6,6,4,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
giamj002,0,7,9,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chave001,0,8,5,4,4,2,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
hernr002,0,9,2,4,4,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
jeted001,1,1,6,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
posaj001,1,2,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oneip001,1,3,9,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
willb002,1,4,8,4,4,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
justd001,1,5,7,4,4,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
hillg001,1,6,10,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
polol001,1,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martt002,1,7,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
bross001,1,8,5,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sojol001,1,9,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cansj001,1,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vizcj001,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
