id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
damoj001,0,1,7,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mccad001,0,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
feblc001,0,2,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ordal001,0,2,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sweem002,0,3,3,4,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
dye-j001,0,4,9,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
poses001,0,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beltc001,0,5,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
randj002,0,6,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reboj001,0,6,11,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
quinm001,0,7,10,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fabrj001,0,8,2,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sancr001,0,9,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alomr001,1,1,4,5,4,2,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0
whitm001,1,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vizqo001,1,2,6,6,6,3,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0
justd001,1,3,7,5,5,3,0,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0
ramim002,1,4,9,4,3,2,1,3,6,1,0,0,0,2,0,0,0,0,0,0,0,0
ramia002,1,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thomj002,1,5,10,5,5,3,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0
sexsr001,1,6,3,5,5,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
frymt001,1,7,5,5,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aloms001,1,8,2,5,5,4,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0
cabrj002,1,9,8,5,5,4,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0
