id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
owene001,0,1,9,4,4,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
river002,0,2,8,4,4,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
sprae001,0,3,3,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
nevip001,0,4,5,4,4,2,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0
boonb002,0,5,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hernc001,0,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackd003,0,7,7,3,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
gomec001,0,8,6,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spens002,0,9,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
reyec001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marta001,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitm002,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kolbb001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
womat001,1,1,6,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bellj001,1,2,4,5,3,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
gonzl001,1,3,7,5,3,2,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
willm003,1,4,5,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
finls001,1,5,8,5,4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
colbg001,1,6,3,4,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lee-t002,1,7,9,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
milld002,1,8,2,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
johnr005,1,9,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
counc001,1,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
padiv001,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bautd001,1,9,11,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
