id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
cataf001,0,1,4,5,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
clayr001,0,2,6,5,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
palmr001,0,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curtc001,0,4,7,5,4,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0
leder001,0,5,9,5,4,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
sierr001,0,6,10,5,4,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
lambm001,0,7,5,5,5,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
knorr001,0,8,2,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
alicl001,0,8,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
waszb001,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grees002,0,9,8,4,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
hendr001,1,1,7,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
gipsc001,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javis001,1,1,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
camem001,1,2,8,5,4,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1
rodra001,1,3,6,5,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
marte001,1,4,10,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
olerj001,1,5,3,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
buhnj001,1,6,9,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ibanr001,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belld002,1,7,5,4,4,3,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0
wilsd001,1,8,2,4,3,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
marta001,1,8,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olivj001,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mclem001,1,9,4,4,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0
