id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
durhr001,0,1,4,6,4,1,1,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0
valej003,0,2,6,6,6,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0
thomf001,0,3,10,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
abboj002,0,3,11,2,2,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0
ordom001,0,4,9,5,5,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
konep001,0,5,3,5,5,4,0,4,4,0,2,1,0,1,0,0,0,0,0,0,0,0
singc001,0,6,8,5,4,3,0,1,3,1,2,0,0,1,0,1,0,0,0,0,1,0
lee-c001,0,7,7,5,4,2,1,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0
chrim002,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nortg001,0,8,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wilsc002,0,8,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
paulj001,0,9,2,5,5,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
willg001,1,1,8,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
cairm001,1,2,4,5,5,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
cansj001,1,3,10,5,4,2,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0
mcgrf001,1,4,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaugg001,1,5,7,4,4,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
martd002,1,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castv001,1,6,5,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tramb001,1,7,9,4,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
flahj001,1,8,2,4,4,3,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
stock001,1,9,6,4,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
