id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
castl001,0,1,4,6,6,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
kotsm001,0,2,9,6,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
floyc001,0,3,7,5,3,3,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
wilsp002,0,4,8,5,2,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1
lowem001,0,5,5,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lee-d002,0,6,3,5,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
millk005,0,7,10,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gonza002,0,8,6,5,5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
redmm001,0,9,2,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
smitm004,0,9,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakop001,0,9,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
andeb001,1,1,8,5,3,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
bordm001,1,2,6,5,5,3,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
deshd001,1,3,4,5,5,2,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0
bellj002,1,4,9,5,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
matol001,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surhb001,1,5,7,5,5,3,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0
clarw001,1,6,3,4,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
bainh001,1,7,10,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lewim001,1,7,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johnc002,1,8,2,4,4,2,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
coffi001,1,9,5,4,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
