id,team,ord,pos,PA,AB,H,BB,R,RBI,K,1B,2B,3B,HR,HBP,SB,CS,IBB,GIDP,INT,SH,SF
grism001,0,1,8,4,4,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
lorem001,0,2,6,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
jenkg001,0,3,7,4,4,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
sexsr001,0,4,3,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
burnj001,0,5,9,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
houst001,0,6,5,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
hernj001,0,6,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bellr002,0,7,4,3,3,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
browk004,0,8,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snydj001,0,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stule001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingr001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweem001,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weatd001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reesp001,1,1,4,5,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tuckm001,1,2,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yound001,1,3,7,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sulls001,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reyed001,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cases001,1,4,3,4,4,3,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0
ochoa001,1,5,9,4,3,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0
bellm003,1,6,5,4,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sextc001,1,7,6,4,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
laruj001,1,8,2,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
harnp001,1,9,1,3,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
huntb002,1,9,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
